PO No,Forwarder Name,PO Created By,Vendor Code,Vendor Name,Vendor Country Name,Consignee Code,Incoterm Origin,PO Delivery Date,PO Item,Material No,Material Short Text,PO Quantity,Total GR Qty,PO Line Process,PO Line Status
62000127,DHL Global Forwarding (Denmark) A/S,PLPETERSEN,1900015387,NRS Relief FZCO,Utd.Arab.Emir.,X33308,FCA,2024-05-29,30,S5088024,High Performance Tent - 24M2,12,12,LTA,CLOSED
68037487,,MKAZEMI,1900018197,Reyoung Pharmaceutical Co Ltd,China,X12001,DAP,2024-09-30,10,S1550009,Iron 60mg+Folic ac. 2800mcg tabs/PAC-100,10000,10000,LTA,CLOSED
68037488,,AWEIS,1900000324,Laerdal Medical AS,Norway,X12001,DAP,2024-07-28,10,S0845006,"Bulb, suction, neonatal, reusable",15600,15600,LTA,CLOSED
68037484,,TNIELSEN,1900020830,Amdipharm Limited,Ireland,X12004,DAP,2024-10-23,10,S1551981,Gentamicin 0.3% eye/ear drops/BOT-10ml,39000,40500,LTA,CLOSED
68037485,,TNIELSEN,1900010328,Pharmatex Italia SRL,Italy,X12004,DAP,2024-12-27,10,S1551960,Gentamicin inj 40mg/ml 2ml amp/BOX-50,10000,9013,LTA,CLOSED
68037486,,TNIELSEN,1900019765,S Kant Healthcare Ltd.,India,X12001,DAP,2024-07-30,10,S1585009,Paracetamol 120mg/5ml or.liq/BOT-60ml,1000000,997164,LTA,CLOSED
68037520,,MKAZEMI,1900000064,KBI Pharmaceuticals GmbH & Co. KG,Germany,X12004,DAP,2012-11-05,10,S1561120,ORS low osm. 20.5g/1L CAR/10x10,42336,42336,LTA,CLOSED
68037510,,WGU,1900006531,MC Emballage A/S,Denmark,X12004,DAP,2024-05-13,10,S8903050,"Tape, clear, 50 mm",4752,4752,NONE,CLOSED
68037402,,AWEIS,1900008382,United Poly Engineering Private Ltd,India,X12001,DAP,2024-06-21,40,S0190000,"Receptacle,waste,pedal action,20L",36,36,LTA,CLOSED
68037481,,NANXIONNAZ,1900010258,Procter & Gamble Company,USA (the),X12010,DAP,2024-07-01,10,S5007321,"Water floc. & disinfectant,pdr/BOX-240",8600,8600,LTA,CLOSED
68037510,,WGU,1900006531,MC Emballage A/S,Denmark,X12004,DAP,2024-05-13,20,S8903001,Tape dispenser w/springloaded tape brake,50,50,NONE,CLOSED
68037510,,WGU,1900006531,MC Emballage A/S,Denmark,X12004,DAP,2024-05-13,30,S8913992,Boxcutter,15,15,NONE,CLOSED
68037511,,WGU,1900002424,Albe Emballage A/S,Denmark,X12004,DAP,2024-05-31,10,S8902039,Thermal ribbon BLACK,60,60,NONE,CLOSED
68037511,,WGU,1900002424,Albe Emballage A/S,Denmark,X12004,DAP,2024-05-31,20,S8501040,"Thermal Transfer Ribbon,110mmx360m",60,60,NONE,CLOSED
68037494,Kuehne + Nagel A/S,MKAZEMI,1900012253,DSM Nutritional Products Europe Ltd,Switzerland,X12004,FCA,2024-12-30,10,S1580201,"Multiple micronutrient pdr,sach./PAC-30",260000,260000,LTA,CLOSED
68037496,,TNIELSEN,1900012918,Galentic Pharma (India) Pvt.Ltd,India,X12001,DAP,2024-08-29,10,S1531042,Chlorhex.diglu.7.1% gel cord.c.TBE/20g,144000,144000,LTA,CLOSED
68037483,,MKAZEMI,1900021271,Lomapharm GmbH,Germany,X12004,DAP,2024-10-09,10,S1550030,Iron 60mg + Folic ac. 400mcg tab/PAC-100,364000,364000,LTA,CLOSED
68037502,,SHVISWANATHA,1900007348,Alulock Aps,Denmark,X12010,DAP,2024-08-25,10,S5001010,"Box,metal,lockable,for storage",1152,1152,LTA,CLOSED
68037493,,MKAZEMI,1900014000,Renata Limited,Bangladesh,X12001,DAP,2024-10-25,10,S1580201,"Multiple micronutrient pdr,sach./PAC-30",295680,295680,LTA,CLOSED
68037542,,MKAZEMI,1900012086,AMEX Healthcare GmbH,Austria,X12004,DAP,2024-10-02,10,S1514130,Levonorgestrel 750mcg tabs/PAC-2  (I),31500,31500,LTA,CLOSED
68037512,,BKERNKAMP,1900005947,Fazzini s.r.l.,Italy,X12004,DAP,2024-05-21,10,S0481056,"Thermometer, clinical, digital, no Li",30000,30000,LTA,CLOSED
68037512,,BKERNKAMP,1900005947,Fazzini s.r.l.,Italy,X12004,DAP,2024-05-17,20,S0481057,"Thermometer,clinical,non-cntct,incl bat",2000,2000,LTA,CLOSED
68037499,,TNIELSEN,1900020830,Amdipharm Limited,Ireland,X12004,DAP,2024-10-31,10,S1555950,Morphine sulph.inj 10mg/ml 1ml/BOX-10 nt,8000,8000,LTA,CLOSED
68037500,,SHVISWANATHA,1900014955,Phoenix Design Aid A S,Denmark,X12001,DAP,2024-05-07,30,S1993546,"Brochures, Arabic for REC Kit",4363,4400,NONE,CLOSED
68037500,,SHVISWANATHA,1900014955,Phoenix Design Aid A S,Denmark,X12001,DAP,2024-05-07,40,S8794602,"Stickers, Arabic for REC Kit",4363,4500,NONE,CLOSED
68037509,,MKAZEMI,1900000468,Remedica Ltd.,Cyprus,X12001,DAP,2024-09-14,10,S1552412,Atenolol 50mg tabs/PAC-10x10,4000,4000,LTA,CLOSED
62000125,Kuehne + Nagel A/S,NANXIONNAZ,1900001086,Butyl Products Ltd.,United Kingdom,X44906,FCA,2024-07-01,20,S5006019,"Water tank,collapsible,5000l,w/dist.kit",38,38,LTA,CLOSED
62000125,Kuehne + Nagel A/S,NANXIONNAZ,1900001086,Butyl Products Ltd.,United Kingdom,X44906,FCA,2024-07-01,10,S5006018,"Water tank,collapsible,1500l,w/distr.kit",2,2,LTA,CLOSED
62000125,Kuehne + Nagel A/S,NANXIONNAZ,1900001086,Butyl Products Ltd.,United Kingdom,X44906,FCA,2024-07-01,30,S5006035,"Water tank,collapsible for trucking,6m³",3,3,LTA,CLOSED
