Order,Destination,Ship to party,Pack date,No of kits/sets,Priority,Incomplete,Shipping point,Background,Foreground,Sampling,Release,Prepick,Bagging,Miniload,SL/Bulk,Long line A,Long line B,QA label,Virtual pack,Haz. Material
50182837,Venezuela,X47102,25.03.2025,--,5,No,1000,C,,,C,C,,,C,,,,C,No
50182846,Venezuela,X47102,25.03.2025,--,5,No,1000,C,,,C,C,,,C,,,,,No
50182849,Mozambique,X689F5,22.04.2025,--,5,No,1000,,C,,C,,,,,,,,C,No
50182861,Sierra Leone,X390H0,25.03.2025,--,5,No,1000,C,,,C,C,,,C,,,,C,No
50182872,Venezuela,X47102,26.03.2025,--,5,No,1000,C,,,C,C,,,C,,,,C,No
50182873,Venezuela,X47102,26.03.2025,--,5,No,1000,C,,,C,C,,,C,,,,,Yes
50182876,Madagascar,X26701,27.03.2025,--,5,No,1000,C,,,C,C,,,C,,,,,No
50182875,Mauritania,X28203,27.03.2025,--,5,No,1000,C,,,C,C,,,C,,,,,Yes
100034740,Denmark,X99994,06.03.2025,50,5,No,1999,C,,,C,C,,,A,,,,,No
100034809,Denmark,X99994,06.03.2025,800,5,No,1999,,C,,C,C,,,B,,,,,No
100034739,Denmark,X99994,06.03.2025,50,5,No,1999,C,,,C,C,,,A,,,,,No
50182893,Burkina Faso,X45902,08.07.2025,--,5,No,1000,C,,,C,,,,C,,,,,No
50182880,Venezuela,X47102,01.04.2025,--,5,No,1000,C,,,C,C,,,C,,,,,No
50182878,Iraq,X21352,27.03.2025,--,5,No,1000,C,,,C,,,,C,,,,,No
50182907,Togo,X42301,30.03.2025,--,5,No,1000,C,,,C,C,,,C,,,,,No
50182909,Mozambique,X68906,30.03.2025,--,5,No,1000,C,,,C,C,,,C,,,,C,No
50182910,Mozambique,X68901,30.03.2025,--,5,No,1000,C,,,C,C,,,C,,,,C,No
50182913,Niger (the),X31802,30.03.2025,--,5,No,1000,C,,,C,C,,,C,,,,,No
50182911,Mozambique,X68901,30.03.2025,--,5,No,1000,C,,,C,C,,,C,,,,C,No
50182908,Mozambique,X68901,30.03.2025,--,5,No,1000,C,,,C,C,,,C,,,,C,No
50182918,Burkina Faso,X45909,30.03.2025,--,5,No,1000,C,,,C,C,,,C,,,,,No
100034891,Denmark,X99994,20.03.2025,258,5,No,1999,A,A,,,,,,,,,,,No
50182950,Libya,X25802,31.03.2025,--,5,No,1000,C,,,C,C,,,C,,,,C,No
50182951,Libya,X25802,31.03.2025,--,5,No,1000,C,,,C,C,,,C,,,,C,No
