Material Number,Description,Article Type,Batch Managed,Plant,Unit of Measure,Multi-Part,Kit parrent,KIT Routing,Full Pallet Qty,Weight,Weight UOM,Volume,Volume UOM,Shelf life allowed,Storage Strategy,Batch Class,Packing Material,Packing material Volume,Less Than Count Percentage,Temperature cond.,Hazardous Material Number
S1993319,"MSF Essential drugs guideline,Spanish",Z01,No,1000,EA,No,--,SHORT_LINE,No,0.535,KGM,1.265,DMQ,--,HBW,--,No,--,10,--,--
S1993318,"MSF Essential drugs guideline,French",Z01,No,1000,EA,No,--,SHORT_LINE,No,0.527,KGM,1.119,DMQ,--,HBW,--,No,--,10,--,--
S1300140,"Artesun25mg+MefloqHCl55mg,tab/3/PAC-1",Z01,Yes,1000,PAC,No,--,SHORT_LINE,No,0.02,KGM,0.099,DMQ,425,HBW,PHARMACEUTICALS,No,--,10,Z1,--
S9999791,"Prepack 1/3 Sudan Juba, PHCC kit",Z02,Yes,1000,EA,No,--,MINILOAD,No,5.5,KGM,21.46,DMQ,240,HBW,PHARMACEUTICALS,No,--,10,Z1,--
S9999868,"Subkit 3/11 Sudan Juba, PHCC kit",Z02,Yes,1000,EA,No,S9906720,LONG_LINE,No,28.8,KGM,0.12,MTQ,240,HBW,PHARMACEUTICALS,No,--,10,Z1,EX2-PSYC.EXP.LIC.
S9999867,"Subkit 2/11 Sudan Juba, PHCC kit",Z02,Yes,1000,EA,No,S9906720,LONG_LINE,No,32.0,KGM,0.16,MTQ,240,HBW,PHARMACEUTICALS,No,--,10,Z1,--
S1993314,"MSF Clinical guidelines, English",Z01,No,1000,EA,No,--,SHORT_LINE,No,0.471,KGM,1.058,DMQ,--,HBW,--,No,--,10,--,--
S1993317,"MSF Essential drugs guideline,English",Z01,No,1000,EA,No,--,SHORT_LINE,No,0.538,KGM,1.255,DMQ,--,HBW,--,No,--,10,--,--
S1993316,"MSF Clinical Guideline, Spanish",Z01,No,1000,EA,No,--,SHORT_LINE,No,0.493,KGM,1.219,DMQ,--,HBW,--,No,--,10,--,--
S9999909,Subkit 2/2 IEHK Basic.S9906621,Z02,Yes,1000,EA,No,S9906621,LONG_LINE,Yes,24.0,KGM,0.12,MTQ,425,HBW,PHARMACEUTICALS,No,--,10,Z1,--
S8903001,Tape dispenser w/springloaded tape brake,Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.3,KGM,2.45,DMQ,--,HBW,--,No,--,10,--,--
S8913901,Plastic seals for PP strap/BOX-1000,Z01,No,1000,EA,No,--,SHORT_LINE,Yes,2382.0,GRM,11.62,DMQ,--,HBW,--,No,--,10,--,--
S8913992,Boxcutter,Z01,No,1000,EA,No,--,SHORT_LINE,Yes,0.233,KGM,3.2,DMQ,--,HBW,--,No,--,10,--,--
S8913906,"Handle,45/50 cm,for film S8913905",Z04,No,1000,EA,No,--,SHORT_LINE,Yes,4.2,KGM,0.056,MTQ,--,HBW,--,Yes,--,--,--,--
S8913905,"Film,clear,20my,0.45m x 300m",Z04,No,1000,ROL,No,--,SHORT_LINE,Yes,10.0,KGM,0.035,MTQ,--,HBW,--,Yes,--,--,--,--
S8902047,LabelsA6-Yellow-Auto.Printers-Portr.,Z04,No,1000,ROL,No,--,SHORT_LINE,No,8.0,KGM,0.018,MTQ,--,HBW,--,Yes,--,--,--,--
S9999860,bagging for Zimbabwe 2015,Z02,Yes,1000,EA,No,--,BAGGING_LINE,No,0.707,KGM,1.275,DMQ,425,HBW,PHARMACEUTICALS,No,--,10,Z1,--
S9999778,"prepack 1/2 Zimbabwe,PHC 2013",Z02,Yes,1000,EA,No,--,MINILOAD,No,3.3,KGM,0.022,MTQ,425,HBW,PHARMACEUTICALS,No,--,10,Z1,--
S9999918,Subkit 2/3 IEHK 2.Equip.S9906626,Z02,No,1000,EA,No,S9906626,LONG_LINE,Yes,17.0,KGM,0.106,MTQ,--,HBW,--,No,--,10,--,--
S9999919,Subkit 3/3 IEHK 2.Equip.S9906626,Z02,No,1000,EA,No,S9906626,SHORT_LINE,Yes,14.494,KGM,96.302,DMQ,--,HBW,--,No,--,10,--,--
S9207081,Hi-Vis jacket yellow outdoor size M,Z01,No,1000,EA,No,--,SHORT_LINE,No,0.5,KGM,0,DMQ,--,HBW,--,No,--,10,--,--
S9999796,"Prepack 1/3 Sudan Juba, PHCU kit",Z02,Yes,1000,EA,No,--,MINILOAD,No,6.0,KGM,0.003,MTQ,240,HBW,PHARMACEUTICALS,No,--,10,Z1,--
S9999797,"Prepack 2/3 Sudan Juba, PHCU kit",Z02,Yes,1000,EA,No,--,MINILOAD,No,2.6,KGM,0.011,MTQ,425,HBW,PHARMACEUTICALS,No,--,10,Z1,--
